	VP_Code	word	emotionality	definition	group	features
0	BK11DF	Mölauzegt	neu	Subjektive Bewertung, die nach innen und an sich selbst gerichtet ist.	Control	Informationen suchen + Entscheidung + schlau + Frustration + abwarten
1	BK11DF	Zimerhubst	emo	Das ausgelaugte und erschöpfte Gefühl nach einer schlaflosen, sorgenvollen Nacht.	Control	Mühe + Freude + Befriedigung + Sinn
2	BK11DF	Rugliebast	emo	Nervös ein wichtiges Gespräch im Kopf durchspielen, um keine Fehler zu begehen.	Control	dreist + Wut + Unsicherheit + Einmischen + aufdringlich
3	BK11DF	Bisknirgo	emo	Ein Zustand vollkommener Harmonie und Gelassenheit, in dem man friedliche Ruhe empfindet.	Control	Mitgefühl + Inspiration + sozial + Gesellschaft
4	BK11DF	Wumeizauch	emo	Einen unerwünschten Ratschlag bekommen, der einem aufgedrängt wird.	Control	Nervosität + Tagtraum + Hoffnung + Inspiration + wärme + Freude + verwirrt + nachdenklich
5	BK11DF	Zwelde	emo	Das glückliche und friedliche Aufwachen nach einem angenehmen Traum.	Control	weinen + Wut + Freude + überreagieren + Laune 
6	BK11DF	Iberletsch	neu	Der Impuls, eine andere Person berühren zu wollen.	Control	ungeduldig + frustriert + nach Worten ringen 
7	BK11DF	Mege	emo	Das sichere Vertrauen in jemanden, der zuverlässig seinen Pflichten nachkommt.	Control	Zuverlässigkeit + Sicherheit + Professionell + Aufgaben aufteilen + Erleichterung + Entspannung
8	BK11DF	Struk	neu	Die Zeit bevor man eine Reise antritt, die man geplant hat.	Control	Nähe + Geborgenheit + Familie + Aufwachsen + Bindung + Verbindung + Kontakt
9	BK11DF	Herklögen	emo	Die ruhige Geborgenheit in der Anwesenheit einer vertrauten Person.	Control	Üben + müde + Anstrengend + lernen + Austausch + Kontakt + neue Kultur + gestikulieren + verständigen + Übersetzen
10	BK11DF	Plüpp	neu	Die Mühe, wenn man eine andere Sprache spricht, im Vergleich zur eigenen Muttersprache.	Control	Empathie + Sozialleben + Freunde
11	BK11DF	Häugnung	neu	Den Einfluss, den die Beobachtung einer zwischenmenschlichen Interaktion auf einen hat.	Control	Überraschung + unverhofft + Freude
12	BK11DF	Skibt	neu	Der Zustand, in den man kommt, wenn man die Gefühle anderer Menschen teilt.	Control	Angst + Nervosität + Trauer + Einsamkeit + müde + Bett + liegen + Stress
13	BK11DF	Troff	neu	Die Gewissheit darüber, dass den eigenen Taten und Entscheidungen Konsequenzen folgen werden.	Control	gespannt + aufgeregt + Zug + Packen + Vorfreude + warten + Urlaub + nervös + Stress
14	BK11DF	Vul	neu	Die Erkenntnis, dass man weitere Informationen braucht, um ein Problem zu lösen.	Control	Bewertung + Selbstbild + Kritik + positiv + negativ + Harsch
15	BK11DF	Preier	emo	Desinteresse vortäuschen, obwohl man etwas eigentlich haben möchte.	Control	Übung + Geduld + Lernen + Perfektionismus + Hobby + Fähigkeit
16	BK11DF	Ismiprämpf	emo	Die Vorfreude, wenn man Besuch erwartet und ständig ungeduldig prüft, ob die Person angekommen ist.	Control	Nähe + Ungeduld + Liebe + Beziehung + Intimität + Berührung
17	BK11DF	Wunicher	emo	Der starke Drang eine unangenehme Begegnung zu vermeiden.	Control	Verantwortung + Erwachsen + Wahl + Überlegen + vorausschauen + Konsequenzen
18	BK11DF	Odef	neu	Die Erkenntnis, dass man sich in die Richtung entwickelt hat, die man vorhergesehen hat.	Control	Zufriedenheit + Stolz + Ziel + Selbstbewusstsein + Freude + harte Arbeit + neues
19	BK11DF	Ferandsor	neu	Wenn man verschlossen ist, weil man lieber für sich bleibt als unter anderen Menschen.	Control	reden + Fremde + Initiative
20	BK11DF	Bismirbiel	emo	Eine heftige emotionale Reaktion auf ein unbedeutsames Ereignis zeigen.	Control	bequem + Unsicherheit + genervt + Wütend + Straße + Ausweichen 
21	BK11DF	Faube	neu	Die Möglichkeit, dass sich aus dem Blickkontakt mit einer anderen Person ein Gespräch ergibt, das diese initiiert.	Control	zuhause + Urlaub + draußen + ruhig + Geborgenheit + Selfcare 
22	BK11DF	Namistell	neu	Zufällig etwas finden, ohne danach gesucht zu haben.	Control	Einzelgänger + Ruhe + anderen aus dem Weg gehen + wenig reden + Zimmer + weggehen
23	BK11DF	Neif	emo	Mit Leidenschaft und Engagement alles in ein Herzensprojekt investieren.	Control	schön + müde + morgens + Bett + gute Laune
24	BK11DF	Wupforau	emo	Die besondere Empfindung, dass man sich in die Person verlieben wird, die man gerade kennengelernt hat.	Control	Liebe + Nähe + Geborgenheit + Innere Ruhe + Zufriedenheit + Glück
25	BK11DF	Muschürdur	emo	Eine bittere Traurigkeit empfinden, die einen grundlos überwältigt.	Control	Beziehung + Freundschaften + einsam + zurückhaltend 
26	BK11DF	Enkmitas	emo	Die Frustration, wenn einem ein Wort auf der Zunge liegt, das einem entfallen ist.	Control	Leere + Unsicherheit + Verzweiflung + Angst + weinen
27	BK11DF	Bingsemöl	neu	Wenn man eine Tätigkeit wiederholt, um sie ausreichend gut durchführen zu können.	Control	Freunde + Begegnung + zuhause + Verabredung + Vorfreude + warten + ungeduldig
28	BK11DF	Weforshank	neu	Die durch Berührung erzeugte Bindung zwischen Eltern und ihrem Kind.	Control	Unsicherheit + Faulheit + Kontaktvermeidung + genervt + laute Klingel + warten + gespannt
29	BK11DF	Glühm	neu	Ruhig sitzen bleiben, wenn es an der Tür klopft, und abwarten, ob es nochmal klopft.	Control	nervös + Vorstellungsgespräch + wichtig + Angst + üben + vorbereiten + besser werden + guter Eindruck
30	Dn20Df	Bismirbiel	emo	Eine heftige emotionale Reaktion auf ein unbedeutsames Ereignis zeigen.	Control	Nachdenken + Unzufrieden + Lernen + Unwissen + Informationen + Fehler + Unterbrechung + Problemlösen + Versagen
31	Dn20Df	Ismiprämpf	emo	Die Vorfreude, wenn man Besuch erwartet und ständig ungeduldig prüft, ob die Person angekommen ist.	Control	Eifer + Freude + Erfüllung + Herz + Anstrengung + in etwas aufgehen + sich verlieren
32	Dn20Df	Bingsemöl	neu	Wenn man eine Tätigkeit wiederholt, um sie ausreichend gut durchführen zu können.	Control	Ärger + Genervt sein + andere Menschen + unangenehm + nervige Person + alles besser wissen + sich profilieren + Ratschlag + Ungewollt
33	Dn20Df	Preier	emo	Desinteresse vortäuschen, obwohl man etwas eigentlich haben möchte.	Control	Blicke + Beobachtung + Seltsam + Stalking + Film gucken + Influencer + sich etwas abschauen + Neid 
34	Dn20Df	Plüpp	neu	Die Mühe, wenn man eine andere Sprache spricht, im Vergleich zur eigenen Muttersprache.	Control	Frau + Mann + Liebe + Kennenlernen + Attraktivität + Besonders + Verliebtsein + Schön + Liebe auf den ersten Blick + Film + Kribbeln + Schmetterlinge im Bauch 
