	Name	Emotionalität	Definition	Assoziationen	Index der Scores	Durchschnittsindex
0	Wunicher	neu	Attempting to avoid encountering a specific person.	"['journal reflect write think', 'reminiscent of depression, otherwise dramatic person, over the top, inner child conflict', 'Practice, Pressure to Perform, Perfection, Control, Willpower, Goal, Ver', 'tense, socially incompetent, compulsive, anticipation, excited, family, friends, getting to know someone, having someone visit for the first time, cleaning the apartment, postman, window, balcony', 'circling thoughts, neuroticism, annoying, unnecessary, does not change, unpleasant, negative situation, problem, should go away, no sleep', 'unrest, conflict, problem, uneasiness, anger, guilt', 'meditation, rest, bed, me, being, nothing, neutral, it is what it is, present', 'surprised, joy, memory', 'warmth, cuddle, innocent', 'Relax, speak, talk, interact, pay attention, listen, watch', 'Be positive, be surprised, joy, anticipate, cheer', 'Friendship, communication, informative, encounter, exchange', 'Elevator, store, shopping, work, meeting', 'Stress, negative fullness, bursting, tense', 'encounterso good to avoid it', 'excited, overreacted, dissatisfied', 'joy, anger, routine, everyday life, friendship', ""don't want, help, hide, detour, embarrassing, shame"", 'happiness joy gratitude', 'reality, planning, organizing, responsibility, reliability, drive, self-determination', 'together, together, acquaintance, friends, gentleman, joy, see you again, have fun, home, cafe, spend time, familiar, play', 'calmed down, peace, work, delegate, team, together, mate', 'ignorance, not properly prepared, human, current state of knowledge, annoying, preparation, work process, state of knowledge, holding back, perfectionism, improvement, improvement', 'Calm, safe, relaxed, trust, contentment', 'Feeling, anticipation, warm', 'Learning, no time, fear, company, sports, friends, stupid, head against heart, wrong people', 'criticism, improvement', 'fearfulness, shyness', 'good or bad, rem, sleep, cloud, calm, story', 'positive or negative, important, bad evaluation of oneself, evaluate, judge, thoughts, optimistic, pessimistic, self-image', 'Repetition, stress, exams, restlessness', 'love, family, sweet, little comrades, cuddly', 'brooding, forgetful, memory thinking, blackout']"	[[554, 663, 525, 1341, 324, 154, 1259, 1817, 1856, 1654, 1404, 1137, 1431, 192, 185, 1185, 1882, 221, 1858, 805, 687, 1264, 466, 1540, 1641, 1124, 959, 129, 865, 165, 902, 1931, 223]]	980.0909090909091
1	Wunicher	emo	The strong urge to avoid an uncomfortable encounter.	"['Responsibility, growing up, choice, deliberating, looking ahead, consequences', 'Gratitude, no more worries, trust, respect, conscientiousness, being there for one another, support', 'Responsibility, burden, being able to achieve something, change', 'Push, physical proximity, impulse, inappropriate, back', 'Annoying, exhausting, self-critical, doubts', ""meant nicely, can also be annoying, know-it-all, funny feeling, as if you couldn't do it on your own, can help"", 'Relaxation, love, friendship, cuddling, being yourself, trust, serenity, calm, connectedness, feeling good', 'Plan, order, think of everything, no surprises, perfectly prepared', 'Humane, understandable, potential for conflict', ""Headache, restlessness, heavy breathing, everything gets tighter, only gets better when it's over, racing thoughts, it won't be as bad as you think, just do it, no solution, distraction"", 'sauer', 'unsatisfactory, impatient, annoying, one wants to end', 'excited, checking, anticipation, suitcase, vacation, plane, waiting, impatient, tense, planning', 'Joy, laughter, cozy, cuddly, warm, soft, sleep', 'trusting, friend, family, partner, carefree, free thoughts, relaxed, secure', 'helpless, empty, confusion, questions, wanting to fathom, melancholic', 'measures, damn, what a shame, what should I do, back and forth, thoughts circling, right and wrong, why today, I would like so much, reason, conscience, conflicted weighing, insecure, sad, envious, enduring', 'unsatisfactory, stressful, negative, aggravated mental health, despair, change, vicious circle', 'lost in thought, trying to recall dream, joy or fear depending on dream, shaky, sleepy, exhausted', 'date, partner, stranger, closeness, distance, tenderness, leg, shoulder, hand, cinema', 'physical or psychological, positive or negative, surprised, worried', 'Tired, safe, lying in bed, warm, cuddly, reading something, the body is heavy, tired eyes', 'Joy, happiness, nice feeling, like Christmas, find money, winter jacket, be happy, be content, share happiness, be surprised, unexpected', 'Swedish, unpleasant, mixture of both as a solution, frustrating, French, exhausting, annoying, demanding, necessary, goes away with practice', ""Motivation, overcoming the weaker self, good is not always good enough, was that really my best?, can it be better, I can do that and I'm good at it..."", ', trust, confidence, do not worry, reliability', 'foreign language, speaking in front of others, social anxiety, fear of embarrassment, insecurity, lack of practice', 'Angry, annoyed, tense, negative feeling', 'soul mates, love at first sight, longing, safe, confident, happy, overwhelmed, pink', 'Fear, Anger, Caution, Confusion, Discipline', 'Conversations, anticipation, personality, assessing people, mutual friends, job, purposeful relationship, what does the other person think of you, disappointment, moving house', 'spontaneous, inexplicable, temperamental, uncontrolled, slip, mistake']"	[[580, 1769, 839, 142, 440, 542, 1742, 1246, 161, 1905, 82, 91, 871, 1798, 1759, 1022, 107, 532, 1176, 802, 22, 1509, 681, 748, 1129, 1676, 720, 321, 1879, 428, 939, 1202]]	901.875
2	Neif	neu	Investing resources and skills in the implementation of an idea.	['Emotional imagination', 'courage effort anticipation boost self-confidence but also fear of failure sometimes feeling of being alone', 'Review, personality, goals, challenges, growth, autonomy, success, happiness, gratitude', 'new, get to know, sympathy, unlikeable, known situation, people, socially incompetent forget, hello', 'short, unclear, different world, lucid dreaming, funny, very confused, foggy, interesting, subconscious, processing, curiosity', 'joy, wanderlust, abroad, cultures, fear, farewell, opportunity, chance, contact', 'juhuuuuuu, warm, sun, car, pack, nervous, stress, great, finally', 'exercise, discipline, ambition, success, pride', 'curious, excited, exciting', 'exhausting, talent, discipline, over the top, compulsiveness, moodiness, fear of failure, perfectionism, pride, fluid, oil', 'Anger, lack of understanding, looking for solutions, feeling weak, distressed, blocked, e', 'Reflection, feedback, positive', 'Mathematics, problems, tasks, solve, solution', 'Strange, be careful', ', bliss', 'tired, sluggish, last Friday', 'Uncertainty, discomfort, confusion, adrenaline, tension, being still, fear', 'worry, jitteriness, time, stomach ache, excitement', 'Hormone', 'joy, excitement, stress, heat, turmoil, impatience, friendship', 'Palace, uncertainty, preparation, unnecessary, compulsion, conversation, uncertainty, control, imagination, no', 'Worries, excitement, tired, listless, restless', 'over the top, annoying, emotionally charged, throwing off course, overpowering, unimportant, taking up space, lagging, caustic, negative, stirring, prolonged, busy', 'Love, security, security, contact, attachment', 'Anticipation, nervous, excited, impatient', 'Quantity, cleaning plan, flat share, finally, relief, about time, joy, well done, praise', 'proud, willing, happy, purposeful', 'empathischglücklichvertraut', 'excitement, hope, fear, joy', 'Tired, nervous, sad, demotivated, often, fatigue, no recovery', 'Work, Plan, Talent, Skill, Experience, Create, Materials, Tool', 'Constantly, SSRI, Annika Gieselmann, Pietrowsky, nightmare, dream diary', 'desperate, bad, frustration']	[[1186, 153, 748, 1011, 138, 1025, 1350, 627, 147, 1221, 1214, 501, 1294, 266, 970, 1939, 946, 1533, 1147, 1548, 734, 1821, 1222, 1396, 933, 823, 494, 460, 1107, 1643, 169, 1140, 1676]]	987.3333333333334
3	Neif	emo	Invest everything in a heart project with passion and commitment.	"['beautiful, tired, morning, bed, good mood', 'Anticipation, boredom, waiting, window, car, friendship, visit, relatives, time', 'reflect, improve', 'Empathy, empathy, connectedness, relate, friendship, understanding, security', 'good prepared', 'Pressure, forced, intrinsic?', ""when you're nervous, it always affects others, you don't want to be a burden to anyone, you want to make a good impression, nervous"", 'People, anxiety, past, hostile, worry, stomach ache, annoyed, not interested, drama', ""oh, surprise, yes, I wouldn't have thought it, joy"", 'considerate, courteous', 'struck by lightning, energetic, wanderlust, grinning, good time, jittery, child, butterflies in stomach, music, dancing, embracing the world, family', 'bilingual', 'exciting, anticipation, great feeling, impatient', 'bed, in the morning, serenity, relaxation, good start, sun, nice dream, good mood, refreshed, exciting', 'Insecurity, fear of making mistakes, training, practice', 'Realization, sad, happy, indecisive, afraid, learn, experience', 'Calmness, protection, being myself, laughter, friendship, family', ""Tired, weakly sluggish, indifferent, melancholic, knocked out, at peace, satisfied and dissatisfied, change of mood, reproach, nagging thoughts, never mind, new day, new happiness, I'll do tomorrow, pleasure and bad"", 'Confusion, reality and dream, ambivalent, pleasant, unpleasant', 'Negative, brooding, pacing, unable to sleep, negative thoughts, stomach ache, frustration, circling thoughts, feeling unwell, shaky, nausea, reduced ability to concentrate', 'human, warm-hearted, joy, sadness, disgust, fear, cold, warm, therapy, primal fear, imprinting, education', 'courteous, attentive, annoying, pushy, mansplaining', 'Worry before that, free at last, relief, you create something, Odef', 'Vacation, traveling, reunion, adventure, discovering new things, excited, positive, anticipation, happy, relaxing, longing, wanderlust', 'relatively neutral, mirror neurons, humanity, influence, social cognition, humanity', 'Satisfaction, pride, frustration, insufficient, could have been better, more...safety, motivation', ', temptation, feeling', 'nightmare, quickly forgotten, dream diary, dream catcher, tell others', 'Motivated, Excited, Encouraged, Fun, Anticipation when the project is complete, Effort', 'overreacting, impulsive, upset, irritable, angry, excessive, unnecessary', 'Excitement, expectation, dreams, delimitation, escape', 'joy, happiness, marriage, getting married, relationships, jealousy, romance films, kitsch, music', 'Happiness, joy, pride, victory, success']"	[[1768, 1571, 331, 405, 60, 1342, 947, 1374, 1289, 716, 517, 447, 636, 1055, 1305, 1235, 1080, 277, 554, 697, 398, 1596, 1489, 362, 877, 1105, 492, 1939, 118, 1513, 694, 1446, 1086]]	930.939393939394
4	Zimerhubst	neu	The physical sluggishness after a night of sleep deprivation.	"['compassion caring love friendship', 'unexpected, happiness, reward, joy', 'anxiety talk', 'unpleasant, annoying, run away, babbler, actually friendly, but annoying, avoid it, get out of the way', 'life path, challenge, courage, confidence, trust, reflection', 'Shared flat, at home, beautiful, being yourself, laughing, listening, friends, family', 'strange, effort, learning, a lot of thinking, patience', 'beautiful, sweet, pleasant, togetherness', 'Barrier, obstacle, fear, shame, stupid, inhibited, social anxiety', 'present thoughts, realistic, stirring', 'physical contact, connection', 'Fear, love, feelings, participation, togetherness, cohesion, solidarity', 'Cheerful, happy, excited, grinning, driving, shaking', ', introvert shy, outsider', 'Corona end, maybe travel to iceland in summer', 'effort, exhausting, palpitations, annoyed, unwell', 'stomach ache, body sensation, excitement, anticipation', 'Positive thinking contentment patience', 'comfortable, lazy, inner dialogue, soothe, mental scenarios, consider, listlessness', 'Annoyed, rubbish, negative, why, dissatisfied, change, self-reflection, closed', 'understand, touch, equal, understanding, together, v', 'stupid, annoying, interfering, person should shut up, unasked, exposing, crossing private borders, unasked, minu', 'Deception, pretend, opposite, dishonest, trick', 'purposeful, innovative, visionary, optimistic, ambitious, plan, structured,', 'Not toiletable, uncomfortable, not a nice feeling, argument, ignorance, reluctance, no motivation to talk, calm, being alone', 'wild, confused', 'security warmth familiarity,', 'neutral, good, relaxed', 'angry, anger, embarrassed, talk, thoughts, try to avoid, paraphrase', ""Stress, hide, watch, listen, be quiet, wait, don't move, hope"", 'False modesty, not indulging in anything, standing by yourself, accepting things', 'social, pleasant, joy, protection']"	[[1829, 1768, 604, 333, 981, 1620, 157, 1912, 481, 539, 646, 1213, 1799, 1032, 1134, 161, 1348, 1631, 447, 212, 267, 778, 410, 1109, 306, 232, 1384, 1524, 871, 693, 935, 1699]]	939.21875
5	Zimerhubst	emo	The drained and exhausted feeling after a sleepless, worrying night.	"['Effort, joy, satisfaction, meaning', 'Contentment, being relaxed, no worries, quiet, stillness, separation falls away', 'Happiness, Empathy, Sorrow, Understanding, Good Friends', 'Feeling, subconscious, crying, despair, being alone, being overwhelmed, v', 'foresighted, exhausting', 'surveillance, you want to be prepared, patient, compulsive, control', 'Isolation, quiet, loneliness, avoiding hustle and bustle, social anxiety, silence, lack of desire, stressed, annoying', 'Time, Power, Goal', 'pride, progress, process', 'nervous, palpitations, scenarios, it always turns out differently than expected, no self-confidence, no inner peace, preparation, practicing how to appear, job interview, important situations', 'learn, reflected', 'Means to an end, love, attraction', 'Nightmare, Feeling unwell, Being sad, Exhausted, Bad mood, Hard day, Bed, Worry, Stress, Exam period', 'Excitement, joy, jittery', 'Pride, Courage, Power, Confident, Happy, Encouraged, Initiative, Confident, Determined, Distracted, Eager, Time', 'twitch, inappropriate, restrain, under control, uncomfortable, need', 'Free, peaceful, content, stillness, carefree, weightless, comfortable, soft, light, wanting to hold, more of it, happiness, here and now, limitless, being me, no judgment', 'Quiet, peace, unfamiliar, inner tension, freedom to think, release thoughts', 'exhausted, grumpy, bad-tempered, irritable, sluggish, tired, unwell', 'specialty, pride, communication, talent, upbringing, vacation abroad, culture, spain, england/america', 'Anticipation, excitement, caring, curiosity, impatience', 'Awkward, Awkward, Hiding, Draw curtains, Being quiet, Not wanting to be heard, Awkward, Wanting to get out of the way', 'Diligence, compulsion, perfectionism, high demands on oneself, practice, restlessness, exaggerate, take a break, encouragement, goal, fatigue', 'Namaste, Nepal, finding money, joy, unexpectedness, not looking for things', 'Tenderness, emotion, empathy, comparability', 'Stress, Anxiety, Tears, Stress, Thoughts, Fatigue', 'for no reason, frustration, introspection, own feelings, reflection', 'Joy, surprise, astonishment, enthusiastic, things long forgotten are rediscovered, melancholy, memories', 'Annoyed, unnecessary, sour, curiosity, gossip', 'Excitement, warmth, sexuality, intimacy', ""impolite, patronizing, anger, know-it-all, conflicts, often well intentioned, parents, people often don't know any better, difficult to be reserved"", 'Stressful, uncomfortable, childish, unnecessary']"	[[1430, 1103, 1675, 232, 4, 1515, 434, 966, 1304, 226, 62, 1563, 196, 1666, 1124, 278, 1134, 880, 369, 1017, 1800, 274, 80, 1839, 1249, 280, 1070, 1081, 1673, 702, 646]]	899.0967741935484
6	Zwelde	neu	The memory of a dream after waking up.	['lying stay at home work', 'Contentment, pride, success, diligence, discipline, willpower, completeness, attention, praise', 'pride, relief, satisfaction, problem solved, rethink, weight off, regret decision, advice, decision making', 'ahhhhhhh, annoying, obligation, FOMO, unfair, no time, or stupidity, self sabotage, fail, p', 'fear, panic, loss of control, letting go', 'cheesy, ohhh, annoying, sweet', 'funny, confusing, sudden, surprising, lack of understanding, questioning where it comes from, trigger?', 'Perfectionist, compulsion, ugly, motivational, unhealthy', 'Self-satisfaction, relieved, happy, breathe a sigh of relief, relaxed, optimistic, future-oriented, anticipation', 'purposeful, commitment, check, reliability', 'Planning, contentment, pride, positive', 'Friends, family, apparently, love', 'Anger, sadness, negativity, ruined day, prefer to go to sleep', ', family ties', 'friend, warmth, love, intimacy', 'gratitude, happiness, joy, or annoyed, wanting to leave, feeling out of place', 'envy, comparison, togetherness, interest', 'Solution Thinking Arithmetic Help Possibilities Questions Group', 'interest, need, sociable, extrovert, draw attention, friendly, communicative', 'Risk, Together, Try, Fail, Joy, Business, Excitement, Stuff', 'Peace, balanced, rested, harmony, sleep, awake, positive', 'security, good feeling, trust, together, connection, relationship, hardworking, reliable, help', 'Safety, well-being, security, trust', 'Reverberation, deja vu, indefinitely thoughtful, familiar, confused, taken away', 'Dwarfs, world, dream world, joy, REM sleep, study, memory, dream study, funny, strange, gone quickly, unfortunately', 'focus, grind, will, exhausting, reward', 'Peace, Love, Harmony, Tranquility Relaxation', 'annoying', 'virtue, important, planning, passion', 'Pride, contentment, happiness, self-confidence, future', 'Perception, body, disease, medicine', 'independent, contentment, calm, clarity']	[[1896, 895, 917, 188, 1523, 1371, 154, 1776, 181, 836, 1383, 1819, 1948, 1669, 1189, 1648, 743, 662, 265, 510, 309, 411, 980, 15, 608, 1115, 993, 1655, 1472, 1396, 1379, 843]]	1023.40625
7	Zwelde	emo	Waking up happy and peaceful after a pleasant dream.	"['cry, anger, joy, overreact, whim', 'Waiting, being impatient, joy, tension, nervousness, anticipation, checklist, luggage', 'too much, time out, rest, social interactions, recharge battery, isolated, introvert', 'frustrating, forgotten, omitted, memory', 'best dream', 'Self-efficacy, effort, pay off, positive, good feeling, self-confidence', 'Hug, loving gesture, wedding, nice feeling, i am infected by their happiness, smile, comforting, security, emotional warmth, two people, partner, friendship', 'Effort, learning, applying knowledge, being proud, exhausting, more cosmopolitan, variety, challenge', 'Fear, uncertainty, caution, safe haven, closed', 'First kiss, beautiful, warm feeling', 'Hysterical, annoying, restless, emotionally unstable, afraid to say the wrong thing, bad experiences, attention-seeking, center, sick, therapy', 'exciting, joy', 'strange, unconscious processes make themselves visible, avoid, uncomfortable', ""Friends, postman, impatience, anticipation, something is dragging, checking questions, time doesn't pass, sitting around, window, door"", 'purposeful, planning, disciplined', 'joy time unfortunately already over dreaming again why woke up brooding why? meaning Ent', 'uncomfortable, escape, careful, guilty conscience, want to be alone', ""shit, it annoys me, why can't it be better, frustration, anger, restlessness, uneasiness, can burst, where can I be annoyed"", 'beautiful, joy, empathy, envy, also wants', 'Joy, excitement, tension, self-confidence, burden falls off', 'calm, serenity, relaxation, drugs, friendship, partnership, sleep, dream, family, cuddling, tenderness', 'human, frustration, angry, ambition, dogged, failures, sad', ""Annoying, exhausting, uncomfortable to talk to, it's on the tip of your tongue, you want to know what the word is, relief when someone says the word"", 'Neighbors, unpleasant feeling, avoiding, the longest queue at the checkout, impatience, uneasiness, unsympathetic, detours, avoidance', 'obstacle, eliminate, setback, perseverance, research', 'Pure adrenaline, rush of ideas, joy, excitement, positive stress, motivation', ', progress, success, goal, joy, good feeling, determination, diligence', 'affection, family, cohesion, together, important for children, caregivers, development', 'Impatience, joy, pacing, restless, active', 'love, interest, focused, interested, meaningful, identity, work', 'Discomfort, trouble, prevention', 'pain, sluggish, exhausted, headache, exhausted, alarm clock too early, drags itself through the day, important delivery, too long on the pc, dry mouth, lack of energy, stress', 'Childish, communication, transparency, lie, openness']"	[[1096, 1085, 1182, 1593, 353, 260, 325, 1046, 1750, 1002, 1773, 292, 757, 1188, 1145, 1782, 1774, 1427, 218, 343, 422, 1496, 1622, 1288, 1007, 285, 387, 722, 736, 1580, 1555, 1204]]	1021.71875
8	Herklögen	neu	Being in the company of other people you know.	"['Swarm, relaxed, rested', 'sometimes nice sometimes weird', 'Exhaustion, exhausting, age, time, rest, coffee', 'english, french, pronunciation, embarrass, make mistakes, learn, embarrass, feel stupid, demonstrated, abroad, lessons', 'Friends, good news, beautiful, excitement, change, pride, positive', 'affection, interest, hope, trust', 'Mom, Snuggle, Hug, Eat, Childhood', 'beautiful, good start, upbeat, optimistic, warm feeling thoughtful about the dream', 'Advancement, self-discovery, pride, novelty, character, personality, beautiful', 'Warmth, closeness, security, security, protection, protective, protect', 'Romance, longing, affection, intimate, full of fervor, kissing', 'Incomprehension, exaggerated, emotional outburst', 'Break up, job interview, work, colleagues, employer', 'Joy, security, talking, laughing, relaxation, good mood', ', emotionally touchedreactionpersonal conceptionevent', 'start up, create something new', 'Excitement, joy, panic, sleepless, jittery, happy, friends, experience, beautiful memories', 'Familiarity, trust, origin', 'worries headache fatigue circles of thought', 'Security, protection, protect, respect, love, warmth, family', 'Relationship, love, hopeful, open minded, insecure, unknown, palpitations, tension, movement', 'together, see, comparison, envy, understand', ""ring, wait, listen, estimate, quiet, doorbells, don't answer, make sure, dhl, uncertainty, pizza, not great, intercom"", 'Listlessness, needing rest, wanting to be alone thoughtful', 'Hope, fear, trust, uncertain, cautious', ""What's that?, what's that, stupid, dizzy, I don't need it, sore muscles"", 'comfortable, relief', 'sad melancholic, depressed, gloomy emotional perspective without depressive', 'perfectionism, annoying, exhausting, unrelaxed', 'good or bad, fascinating, friends, family, strangers, feelings, emotions, thoughts, behavior', 'Stuttering thinking, thinking a lot before saying something, insecurity', 'Training, repetition, piano, basketball, learning, studying, training, memory, motor skills', 'Marriage proposal, love, joy, romance, affection']"	[[408, 507, 1861, 690, 310, 399, 1438, 516, 1032, 16, 1328, 1160, 1126, 55, 57, 1579, 106, 1476, 1426, 166, 1055, 1828, 820, 34, 303, 1924, 255, 1014, 815, 1477]]	839.3666666666667
9	Herklögen	emo	The calm security in the presence of a trusted person.	"['Practice, tired, exhausting, learn, exchange, contact, new culture, gesture, communicate, translate', 'actually interested, crush, feign disinterest, pretend, getting to know each other, dishonest, companionship', 'Stress, bad mood, listlessness, despair, bed, doing nothing, crying', 'surprise, coincidence, item, object, misplaced, forgotten', 'Social pressure, uncomfortable, interaction, anxiety', ""a lot of people, lazy, do a job, you don't want to see people right now, responsibility"", 'nevertheless, defiance, expectation, ignorance, repress, procrastination, irresponsible, lacking in motivation, need', 'great, proud, warm feeling, strong, unstoppable, everything will be fine', 'Unpleasant', 'English, Spanish, language course, foreign country, embarrassing, silence, laughing, sweating, comparing with others, stuttering, blushing', 'Reliable', 'beautiful, exciting', 'missing information, obtain, inform, close gaps, make decisions, tackle, weigh up information, bad decisions, internet, books, ask', 'Reflection, honest, expectation, self-challenge, open-minded', 'Shame, thrill, anticipation, tension, jittery, sad, disregard, absolutely', 'Lying, manipulating, dishonest, uncomfortable, unspoken, concealing', ""Perfectionism, unnecessary, can't stop it Compulsion, anger, frustration, ambition, exhaustion, resentment, annoyed, disappointed, wanting"", 'Panic, unrealistic, worst case scenario, excessive, fear, needs to talk about it', 'exciting, exciting, nervous, insecure, shaky, butterflies in the stomach, joy, good mood', 'job, empowerment, joy, fear, confidence, experience, learn, doubt, relief, seek advice', 'relaxation, happy, clear your head, health', 'Fear, feelings of inferiority, being aloof, being careful, talking little about yourself, keeping your distance, distrust, jealousy', 'Strengths, skills, demonstrate, use strengths, put things into action', 'Meeting ex again, confrontation, avoid, uncomfortable, dodge, procrastinate', 'Exciting, not being able to do anything anymore, everything takes longer, joy, tension, hoping that it will turn out as expected, constantly looking out the window', ', anxiety, stress, worry, fear of the future', 'again and again, frustration, expectations of oneself, expectations of others, unproductive, talent, practice', 'Desperation, helplessness, sadness, gray haze over everything, less laughter, withdrawal from family and close people, loneliness', 'hesitation, consideration, impulse, contact, fear, anger, longing', 'Pride, confidence, retrospect, contentment', ""being annoyed, uncomfortable, pressure, lectures, mostly in conversation with others, great exertion, tiredness, stress, lying on one's tongue, looking for similarities"", 'Aunt, Joy, Happiness, Hug, Excitement, Positive']"	[[1059, 665, 1822, 1065, 1423, 1537, 835, 213, 1153, 1289, 77, 965, 651, 581, 1395, 1906, 1235, 1569, 1441, 521, 93, 1376, 197, 1776, 1242, 1532, 1861, 1829, 1149, 327, 1519, 727]]	1094.6875
