	VP_Code	Wort	Emotionalität	Assoziationen	Sentiment Score	Modelleinschätzung
0	BK11DF	Mölauzegt	neu	searching for information + decision + smart + frustration + waiting	-0.1027	neutral
1	BK11DF	Zimerhubst	emo	effort + joy + satisfaction + meaning	0.7717	emotional
2	BK11DF	Rugliebast	emo	bold + anger + insecurity + meddling + pushy	-0.7184	emotional
3	BK11DF	Bisknirgo	emo	compassion + inspiration + social + society	0.7506	emotional
4	BK11DF	Wumeizauch	emo	nervousness + daydream + hope + inspiration + warmth + joy + confused + thoughtful	0.9042	emotional
5	BK11DF	Zwelde	emo	cry + anger + joy + overreact + mood	-0.6124	emotional
6	BK11DF	Iberletsch	neu	impatient + frustrated + struggling for words	-0.8126	emotional
7	BK11DF	Mege	emo	reliability + security + professional + dividing tasks + facilitation + relaxation	0.7003	emotional
8	BK11DF	Struk	neu	proximity + security + family + growing up + attachment + connection + contact	0.6486	emotional
9	BK11DF	Herklögen	emo	practice + tired + exhausting + study + exchange + contact + new culture + gesture + communicate + translate	-0.6597	emotional
10	BK11DF	Plüpp	neu	empathy + social life + friends	0.4767	neutral
11	BK11DF	Häugnung	neu	surprise + unexpected + joy	0.7096	emotional
12	BK11DF	Skibt	neu	anxiety + nervousness + sadness + loneliness + tired + bed + lying + stress	-0.9493	emotional
13	BK11DF	Troff	neu	tense + excited + train + packing + anticipation + waiting + vacation + nervous + stress	-0.5423	emotional
14	BK11DF	Vul	neu	evaluation + self-image + criticism + positive + negative + harsh	-0.7096	emotional
15	BK11DF	Preier	emo	practice + patience + learning + perfectionism + hobby + ability	0.5574	emotional
16	BK11DF	Ismiprämpf	emo	closeness + impatience + love + relationship + intimacy + touch	0.34	neutral
17	BK11DF	Wunicher	emo	responsibility + growing up + choice + consideration + looking ahead + consequences	0.1779	neutral
18	BK11DF	Odef	neu	contentment + pride + goal + confidence + joy + hard work + new	0.891	emotional
19	BK11DF	Ferandsor	neu	talk + strangers + initiative	0.0	neutral
20	BK11DF	Bismirbiel	emo	comfortable + uncertainty + annoyed + angry + road + dodge	-0.6124	emotional
21	BK11DF	Faube	neu	at home + vacation + outside + quiet + security + self-care	0.34	neutral
22	BK11DF	Namistell	neu	loner + quiet + avoiding others + talking little + room + going away	-0.5719	emotional
23	BK11DF	Neif	emo	beautiful + tired + morning + bed + good mood	0.5994	emotional
24	BK11DF	Wupforau	emo	love + closeness + security + inner peace + contentment + happiness	0.9451	emotional
25	BK11DF	Muschürdur	emo	relationship + friendships + lonely + reserved	0.0258	neutral
26	BK11DF	Enkmitas	emo	emptiness + insecurity + despair + fear + crying	-0.9231	emotional
27	BK11DF	Bingsemöl	neu	friends + encounter + home + date + anticipation + waiting + impatient	0.3182	neutral
28	BK11DF	Weforshank	neu	insecurity + laziness + avoidance of contact + annoyed + loud bell + waiting + excited	-0.6908	emotional
29	BK11DF	Glühm	neu	nervous + interview + important + fear + practice + prepare + get better + good impression	0.4939	neutral
30	Dn20Df	Bismirbiel	emo	thinking + dissatisfied + learning + ignorance + information + error + interruption + problem solving + failure	-0.9169	emotional
31	Dn20Df	Ismiprämpf	emo	eagerness + joy + fulfillment + heart + effort + absorbing + getting lost	0.6369	emotional
32	Dn20Df	Bingsemöl	neu	anger + being annoyed + other people + unpleasant + annoying person + knowing everything better + distinguishing oneself + advice + unwanted	-0.8779	emotional
33	Dn20Df	Preier	emo	stares + observation + strange + stalking + watching a movie + influencer + learning + envy	-0.4404	neutral
34	Dn20Df	Plüpp	neu	woman + man + love + getting to know each other + attractiveness + special + being in love + beautiful + love at first sight + film + tingling + butterflies in the stomach	0.9719	emotional
35	Dn20Df	Iberletsch	neu	unnecessary + freaking out + reaction + unimportant + violent + screaming + crying + anger + feelings + emotion runs through + hurt	-0.9674	emotional
36	Dn20Df	Muschürdur	emo	anger + tension + words + thoughts + can't think of anything else + stammering + insecurity + anger + disappointment + upset	-0.9607	emotional
37	Dn20Df	Wunicher	emo	gratitude + no more worries + trust + respect + conscientiousness + being there for each other + support	0.8248	emotional
38	Dn20Df	Skibt	neu	family + attachment + parents + secure + contentment + love + help + touch + unconditional + affection + trust	0.9623	emotional
39	Dn20Df	Bisknirgo	emo	german + english + spanish + ambition + searching for words + memory + gestures + grammar + effort + thinking	0.0	neutral
40	Dn20Df	Enkmitas	emo	funny + closeness + understanding + togetherness + feelings + similarity + strange + familiar	0.2732	neutral
41	Dn20Df	Glühm	neu	random + joy + rediscovery + happiness + idea + key + search + find	0.8126	emotional
42	Dn20Df	Odef	neu	worries + feelings + doubts + fears + thoughts + insomnia	-0.7783	emotional
43	Dn20Df	Zwelde	emo	waiting + being impatient + joy + tension + nervousness + anticipation + checklist + baggage	-0.128	neutral
44	Dn20Df	Vul	neu	reflection + thoughts + writing down + self-criticism + self-praise + self-worth + expectations of yourself	0.0	neutral
45	Dn20Df	Mölauzegt	neu	ambition + proving something to oneself + eagerness + learning + talent + practice + repetition + trying + success + failure + effort	0.7096	emotional
46	Dn20Df	Häugnung	neu	miss + relationships + touch + hug + corona + contact restriction + friendship + see you + help + comfort	0.8176	emotional
47	Dn20Df	Ferandsor	neu	procrastination + hesitation + regret + realization + stupidity + short-term + reward + consequence + unpleasant + long-term + decide	-0.7351	emotional
48	Dn20Df	Struk	neu	success + expectation + disappointment + negative + positive + time + span of time + pressure + goals + goal in life + job + knowledge	-0.2263	neutral
49	Dn20Df	Rugliebast	emo	insecurity + shyness + interest + speaking + silence + gestures + looks	-0.2732	neutral
50	Dn20Df	Troff	neu	fear + escape + avoidance + uncomfortable + love + embarrassment + reunion + panic	-0.8316	emotional
51	Dn20Df	Zimerhubst	emo	contentment + being relaxed + no worries + quiet + stillness + exertion falls off	0.1779	neutral
52	Dn20Df	Mege	emo	alone + lonely + no contacts + no friends + boredom + netflix + relaxation	-0.4019	neutral
53	Dn20Df	Weforshank	neu	peaceful + relaxed + beautiful + morning + sleeping in + dreams + yawning + thinking + rest + peace	0.9477	emotional
54	Dn20Df	Faube	neu	love + intimacy + contentment + partnership + friendship + family + togetherness + community + beautiful + in love + happy + secure	0.9744	emotional
55	Dn20Df	Herklögen	emo	actually interested + crush + feign disinterest + pretend + getting to know each other + dishonest + company	-0.4588	neutral
56	Dn20Df	Wumeizauch	emo	depression + sadness + loneliness + alone + crying + feeling empty + questioning everything + heartbreak + deep sadness + reasonless	-0.9674	emotional
57	Dn20Df	Neif	emo	anticipation + boredom + waiting + window + car + friendship + visit + relatives + time	0.25	neutral
58	Dn20Df	Wupforau	emo	laziness + anxiety + living alone + sofa + family + postman + doorbell + lounging + relaxing + being disturbed	-0.2732	neutral
59	Dn20Df	Namistell	neu	nervousness + anxiety + stress + repetition + tension + fear of failure + job interview + exam + exam + phone calls	-0.926	emotional
60	IN11MH	Vul	neu	frustration + stuck + help + instructions	-0.34	neutral
61	IN11MH	Plüpp	neu	zeal + joy + recognition + completion + pride	0.7351	emotional
62	IN11MH	Preier	emo	annoyance + anger + hurt + ignore + roll your eyes	-0.8979	emotional
63	IN11MH	Troff	neu	positive or negative + inspiration + reminding of own needs + fellow human beings	0.5106	emotional
64	IN11MH	Faube	neu	excitement + pure joy + butterflies in the stomach + curiosity about getting to know each other + can hardly believe it	0.7906	emotional
65	IN11MH	Weforshank	neu	crying + emotional + built close to the water + criticism + calming down + shaming	-0.4019	neutral
66	IN11MH	Muschürdur	emo	be mad at self + hope + search for word	-0.0772	neutral
67	IN11MH	Ferandsor	neu	calm + contentment + aspiring	0.5859	emotional
68	IN11MH	Rugliebast	emo	well-being + love + warmth + security + feels good + watch out	0.91	emotional
69	IN11MH	Namistell	neu	exhausting + effort + learning + learning success + english + spanish + school + presentation + phone call + abroad	0.296	neutral
70	IN11MH	Zimerhubst	emo	happiness + empathy + sadness + understanding + good friends	0.7717	emotional
71	IN11MH	Enkmitas	emo	money + object + joy + surprise + fallen down + hidden	0.5267	emotional
72	IN11MH	Skibt	neu	fatigue + dissatisfaction + bad dream + waking up + light sleep	-0.7717	emotional
73	IN11MH	Mölauzegt	neu	excitement + happiness + anticipation + cheering + checking	0.8885	emotional
74	IN11MH	Neif	emo	reflect + improve	0.4404	neutral
75	IN11MH	Wumeizauch	emo	practice + frustration + success + keep at it	0.1531	neutral
76	IN11MH	Häugnung	neu	no fear of contact + extraverted + romantic + means to an end	-0.4019	neutral
77	IN11MH	Wunicher	emo	responsibility + burden + being able to achieve something + change	-0.4404	neutral
78	IN11MH	Glühm	neu	plan + satisfaction + pride + achieve goal + celebrate success	0.9136	emotional
79	IN11MH	Struk	neu	solution + problem + speaking + waiting + hoping	0.34	neutral
80	IN11MH	Bismirbiel	emo	avoiding eye contact + keeping your distance + talking to other people + feeling uncomfortable + leaving quickly	-0.5423	emotional
81	IN11MH	Mege	emo	bliss + can stay like this + desire	0.8528	emotional
82	IN11MH	Zwelde	emo	too much + time out + rest + social interactions + recharge battery + isolated + introverted	-0.3182	neutral
83	IN11MH	Bisknirgo	emo	sun + window + warmth + smile + well rested + good day + energy + indulge in dreams	0.9231	emotional
84	IN11MH	Wupforau	emo	family + friendship + trust + being able to tell everything	0.7351	emotional
85	IN11MH	Iberletsch	neu	unnecessary + everyone does + strategy + hoping	0.4215	neutral
