	Name	Emotionalität	Definition	Features	Anzahl Teilnehmer	Index der Scores	geordnete Indizes	Durchschnittsindex	Median Index	Insgesamte Anzahl der Definitionen	Scores	Durchschnittsscore	Gesamtdurchschnittsscore
0	Wunicher	emo	the strong urge to avoid an uncomfortable encounter.	"[""responsibility, growing up, choice, consideration, looking ahead, consequences, gratitude, no more worries, trust, respect, conscientiousness, being there for each other, support, responsibility, burden, being able to achieve something, change, push, physical proximity, impulse, inappropriate, retreat, annoying, exhausting, self-critical, doubts, meant nicely, can also be annoying, know-it-all, strange feeling, as if you couldn't do it alone, can help, relaxation, love, friendship, cuddling, being yourself, trust, serenity, calm, connectedness, feeling good, plan, order, think of everything, no surprises, perfectly prepared, human, understandable, potential for conflict, headache, restlessness, heavy breathing, everything is contracting, won't get better until it's over, racing thoughts, it won't be as bad as you think, just do it, no solution, distraction, sauer, unsatisfactory, impatience, annoying, you want to end, excited, checking, anticipation, suitcase, vacation, plane, waiting, impatient, tense, planning, joy, laughter, cozy, cuddly, warm, soft, sleep, trusting, friend, family, partner, carefree, free thoughts, relaxed, secure, helpless, empty, confusion, questions, wanting to fathom, melancholic, measures, damn, it's a shame, what should i do, back and forth, thoughts circling, right and wrong, why today, i would love to, reason, conscience, conflict, weigh up, insecure, sad, envious, regretful, unsatisfactory, stressful, negative, aggravated mental health, despair, change, vicious cycle, lost in thought, trying to remember dream, joy or fear depending on dream, shaky, sleepy, exhausted, date, partner, strangers, closeness, distance, tenderness, leg, shoulder, hand, cinema, physical or psychological, positive or negative, surprised, worried, tired, safe, lying in bed, warm, cuddly, reading something, the body is heavy, tired eyes, joy, happiness, nice feeling, like christmas, find money, winter jacket, be happy, be satisfied, share your happiness, be surprised, unexpected, swedish, uncomfortable, mix of both as a solution, frustrating, french, exhausting, annoying, demanding, necessary, fades away with practice, motivation, overcome the weaker, good is not always good enough, was that really my best?, is it better, i can do that and i'm good at it, trust, confidence, no worries, reliability, foreign language, speaking in front of others, social anxiety, fear of embarrassment, insecurity, lack of practice, angry, annoyed, tense, negative feeling, soulmates, love at first sight, longing, secure, confident, happy, overwhelmed, pink, fear, anger, caution, confusion, discipline, conversations, anticipation, personality, assessing people, mutual friends, workplace, purposeful relationship, what does the other person think about a, disappointment, moving, spontaneous, inexplicable, temperament, uncontrolled, slips, mistakes""]"	1	[30]	[30]	30	30	60	[0.406197726726532]	0.406197726726532	0.4229945595065753
1	Wunicher	neu	attempting to avoid encountering a specific person.	['diary, reflect, write, think, reminiscent of depression, otherwise dramatic person, over the top, inner child conflict, practice, pressure to perform, perfection, control, willpower, goal, tense, socially incompetent, compulsive, anticipation, excited, family, friends, meeting someone, having someone visit for the first time, cleaning the apartment, postman, window, balcony, circling thoughts, neuroticism, annoying, unnecessary, not changing, uncomfortable, negative situation, problem, should go away, no sleep, unrest, conflict, problem, uneasiness, anger, guilt, meditation, rest, bed, me, being, nothing, neutral, it is what it is, presence, surprised, joy, memory, warmth, cuddle, innocent, relaxation, speaking, conversations, interaction, attention, listening, watching, be positive, be surprised, joy, not expect anything, cheer up, friendship, communication, informative, encounter, exchange, elevator, shop, shopping, work, meeting, stress, negative fullness, bursting, tense, avoid encounters as much as possible, excited, overreacted, dissatisfied, joy, anger, routine, everyday life, friendship, do not want, help, hide, detour, embarrassed, shame, happiness, joy, gratitude, reality, plan, organize, responsibility, reliability, drive, self-determination, together, together, acquaintance, friends, gentleman, joy, see you again, have fun, at home, cafe, spend time, familiar, play, calmed down, peace, work, delegate, team, together, mate, ignorance, not properly prepared, human, current level of knowledge, annoying, preparation, work process, level of knowledge, delaying, perfectionism, improvement, calm, security, relaxed, trust, contentment, feeling, anticipation, warm, learning, no time, fear, society, sports, friends, stupid, head against heart, wrong people, criticism, improvement, fear, discomfort, shy, insecurity, beautiful or bad, rem, sleep, cloud, calm, history, positive or negative, important, bad evaluation of oneself, evaluate, judge, thoughts, optimistic, pessimistic, self-image, repetition, stress, checking, checking, anxiety, love, family, sweet, little comrades, cuddly, brood, forgetful, memory, think, blackout']	1	[25]	[25]	25	25	60	[0.40672141313552856]	0.40672141313552856	0.4229945595065753
2	Neif	emo	invest everything in a heart project with passion and commitment.	"[""beautiful, tired, morning, bed, good mood, anticipation, boredom, waiting, window, car, friendship, visit, relatives, time, reflect, improve, empathy, empathy, connectedness, relate, friendship, understanding, security, well prepared, pressure, forced, intrinsic?, when you're nervous, always affects others, you don't want to be a burden to anyone, you want to make a good impression, nervous, people, anxiety, past, hostile, worry, stomach ache, annoyed, no desire, drama, oh, surprise, yes, i wouldn't have thought of it, joy, considerate, courteous, struck by lightning, energetic, wanderlust, grinning, good time, jittery, child, butterflies in the stomach, music, dancing, embracing the world, family, bilingual, exciting, anticipation, great feeling, impatient, bed, morning, serenity, relaxation, good start, sun, nice dream, good mood, refreshed, exciting, insecurity, fear of making mistakes, training, practice, realization, sad, happy, indecisive, fear, learning, experience, calm, protection, being myself, laughter, friendship, family, tired, weakly sluggish, indifferent, melancholic, knocked out, at peace, satisfied and dissatisfied, change of mood, reproach, nagging thought, no matter, new day new happiness, i'll do tomorrow, pleasure and bad, confusion, reality and dream, torn, comfortable, uncomfortable, negative, brooding, pacing, not being able to sleep, negative thoughts, stomach ache, frustration, thoughts circling, feeling unwell, shaky, nausea, reduced ability to concentrate, human, warm-hearted, joy, sadness, disgust, fear, cold, warm, therapy, primal fear, imprinting, upbringing, courteous, attentive, annoying, pushy, mansplaining, worry before that, free at last, relief, you create something, odef, vacation, traveling, reunion, adventure, discovering new things, excited, positive, anticipation, happy, relaxing, longing, wanderlust, relatively neutral, mirror neurons, humanity, influence, social cognition, humanity, satisfaction, pride, frustration, not enough, could have been better, more..., security, motivation, temptation, feeling, nightmare, quickly forgotten, dream journal, dream catcher, tell others, motivated, enthusiastic, spur, fun, anticipation, when the project is finished, effort, overreaction, impulsive, upset, irritable, angry, over the top, unnecessary, excitement, expectation, dreaming, containment, escape, joy, happiness, marriage, getting married, relationships, jealousy, romance films, kitsch, music, happiness, joy, pride, victory, success""]"	1	[52]	[52]	52	52	60	[0.37383246421813965]	0.37383246421813965	0.4229945595065753
3	Neif	neu	investing resources and skills in the implementation of an idea.	['emotional, imagination, courage, effort, anticipation, self-confidence but also fears of failure, sometimes feeling of being alone, review, personality, goals, challenges, growth, autonomy, success, happiness, gratitude, new, get to know, sympathy, unlikeable, known situation, people, socially incompetent, forgot names, hello, short, unclear, different world, lucid dreaming, weird, very confused, foggy, interesting, subconscious, processing, curiosity, joy, wanderlust, abroad, cultures, fear, farewell, possibility, opportunity, contact, juhuuuuuu, warm, sun, car, pack, nervous, stress, great, finally, practice, discipline, ambition, success, pride, curious, excited, exciting, exhausting, talent, discipline, over the top, compulsiveness, whimsy, fear of failure, perfectionism, pride, fluid, oil, anger, incomprehension, looking for solutions, feeling weak, distress, blocked, reflection, feedback, positive, mathematics, problems, tasks, solve, solution, strange, caution, bliss, tired, sluggish, last friday, uncertainty, discomfort, confusion, adrenaline, tension, being still, fear, worry, jitters, time, stomach ache, excitement, hormone, joy, excitement, stress, heat, turmoil, impatience, friendship, palace, uncertainty, preparation, unnecessary, compulsion, conversation, uncertainty, control, imagination, worry, excitement, tired, dull, restless, over the top, annoying, emotionally charged, derailing, overpowering, unimportant, taking up space, delay, corrosive, negative, upsetting, prolonged, busy, love, security, security, contact, attachment, anticipation, nervous, excited, impatient, quantity, cleaning plan, flat share, finally, relief, about time, joy, well done, praise, proud, will, happy, determined, empathetic, happy, familiar, excitement, hope, fear, joy, tiring, nervous, sad, demotivated, often, tired, no recovery, labor, planning, talent, skill, experience, creation, materials, tools, constantly, ssri, annika gieselmann, pietrowsky, nightmare, dream diary, desperate, bad, frustration']	1	[59]	[59]	59	59	60	[0.3789787292480469]	0.3789787292480469	0.4229945595065753
4	Zimerhubst	emo	the drained and exhausted feeling after a sleepless, worrying night.	"[""effort, joy, satisfaction, meaning, contentment, being relaxed, no worries, quiet, stillness, exertion falls off, happiness, empathy, sadness, understanding, good friends, feeling, subconscious, crying, despair, being alone, being overwhelmed, forward looking, exhausting, surveillance, wanting to be prepared, patient, compulsive, control, isolation, quiet, loneliness, avoiding hustle and bustle, social anxiety, silence, not in the mood, stressed, annoying, time, power, goal, pride, progress, process, nervous, palpitations, scenarios, it always turns out differently than expected, no self-confidence, no inner peace, preparation, practicing how to appear, job interview, important situations, learn, reflected, means to an end, love, attraction, nightmare, feeling unwell, thinking, being sad, exhaustion, bad mood, hard day, bed, worry, stress, exam period, excitement, joy, jittery, pride, courage, strength, confident, happy, encouraged, initiative, secure, determined, without distractions, eagerness, time, twitch, inappropriate, hold back, under control, uncomfortable, need, free, peaceful, contented, stillness, carefree, weightless, comfortable, soft, light, wanting to hold, more of it, happiness, here and now, limitless, being me, no judgment, quiet, peace, unfamiliar, inner tension, freedom, think, release thoughts, exhausted, grumpy, bad-tempered, irritable, sluggish, tired, unwell, distinctiveness, pride, communication, aptitude, education, holiday abroad, culture, spain, england/america, anticipation, excitement, caring, curiosity, impatience, awkward, awkward, hiding, draw curtains, being quiet, not wanting to be heard, awkward, wanting to get out of the way, diligence, compulsion, perfectionism, high demands on oneself, practice, restlessness, exaggerate, allow yourself a break, incentive, goal, fatigue, namaste, nepal, finding money, joy, unexpected, not looking for things, tenderness, emotion, empathy, comparison, thoughtful, stress, anxiety, tears, stress, thoughts, fatigue, for no reason, frustration, introspection, own feelings, reflection, joy, surprise, astonishment, enthusiastic, things long forgotten are rediscovered, melancholy, memories, annoyed, unnecessary, angry, curiosity, gossip, excitement, warmth, sexuality, intimacy, impolite, patronizing, anger, know-it-alls, conflicts, often well intentioned, parents, people often don't know any better, restraint difficult, stress, uncomfortable, childish, unnecessary""]"	1	[49]	[49]	49	49	60	[0.3937665820121765]	0.3937665820121765	0.4229945595065753
5	Zimerhubst	neu	the physical sluggishness after a night of sleep deprivation.	"[""compassion, caring, love, friendship, unexpected, happiness, reward, joy, anxiety, fear, talk, uncomfortable, annoying, run off, chatterbox, actually friendly, but annoying, make a bow around it, get out of the way, life path, challenge, courage, confidence, trust, reflection, shared flat, at home, beautiful, being yourself, laughing, listening, friends, family, strange, effort, learn, much thought, patience, beautiful, sweet, pleasant, togetherness, barrier, obstacle, fear, shame, stupid, inhibited, social anxiety, present thoughts, realistic, stirring, physical contact, connection, fear, love, feelings, participation, togetherness, cohesion, solidarity, cheer, happiness, excited, grin, drive, tremble, introvert, shy, outsider, withdrawn, corona end, maybe trip to iceland in summer, effort, exhausting, palpitations, being annoyed, unwell, stomach ache, body sensation, excitement, anticipation, positive thinking, contentment, patience, comfortable, lazy, internal dialogue, soothe, mental scenarios, consider, listlessness, annoyed, rubbish, negative, why, dissatisfied, change, self-reflection, closed, understand, touch, equal, understanding, together, v, stupid, annoying, meddling, person should shut up, unasked, embarrassing, crossing private borders, unasked, deception, pretend, opposite, dishonest, tricks, purposeful, innovative, visionary, optimistic, ambitious, plan, structured, toilet, neighbors, uncomfortable, not a nice feeling, argument, ignorance, reluctance, no motivation to talk, peace, being alone, wild, confused, security, warmth, familiarity, neutral, good, relaxed, angry, anger, embarrassed, talk, thoughts, try to avoid, rewrite, stress, hide, watch, listen, be quiet, wait, don't move, hope, false modesty, not indulging, standing up for yourself, accepting things, social, pleasant, joy, protection""]"	1	[46]	[46]	46	46	60	[0.4949621558189392]	0.4949621558189392	0.4229945595065753
6	Zwelde	emo	waking up happy and peaceful after a pleasant dream.	"[""cry, anger, joy, overreact, mood, waiting, being impatient, joy, tension, nervousness, anticipation, checklist, baggage, too much, time out, rest, social interactions, recharge battery, isolated, introverted, frustrating, forgotten, omitted, reminder, best dream, self-efficacy, effort, paying off, positive, feeling good, confidence, hug, loving gesture, wedding, nice feeling, i am infected by their happiness, smile, cozy, security, emotional warmth, two people, partner, friendship, effort, learning, applying knowledge, being proud, exhausting, more cosmopolitan, variety, challenge, fear, uncertainty, caution, safe haven, closed, first kiss, beautiful, warm feeling, hysterical, annoying, restless, emotionally unstable, afraid of saying the wrong thing, bad experiences, attention seeking, focus, sick, therapy, exciting, joy, strange, unconscious processes make themselves visible, avoid, unpleasant, friends, postman, impatience, anticipation, something is dragging, checking, asking, time doesn't pass, sitting around, window, door, purposeful, planning, disciplined, joy, time unfortunately already over, dreaming again, why woke up, pondering, why?, meaning, uncomfortable, escape, cautious, guilty conscience, wanting to be alone, shit, annoys me, why can't it be better, frustration, anger, restlessness, uneasiness, can burst, where to take me, be annoyed, beautiful, joy, empathy, envy, wants too, joy, excitement, tension, self-confidence, burden falls off, peace, serenity, relaxation, drugs, friendship, partnership, sleep, dream, family, cuddling, tenderness, human, frustration, angry, ambition, dogged, failures, sad, annoying, exhausting, uncomfortable in conversation, is on the tip of your tongue, you want to know, what the word is, relief, when someone says the word, neighbors, uncomfortable feeling, avoiding, the longest line at the checkout, impatience, uneasiness, unsympathetic, detours, avoidance, obstacle, remove, setback, perseverance, research, pure adrenaline, rush of ideas, joy, excitement, positive stress, motivation, progress, success, goal, joy, good feeling, determination, diligence, affection, family, cohesion, together, important for children, caregivers, development, impatience, joy, running around, restless, active, love, interest, focused, interested, meaningful, identity, work, discomfort, anger, prevention, pain, sluggish, exhausted, headache, banged up, alarm clock too early, dragging through the day, important assignment, too long at the pc, dry mouth, lack of energy, stress, childish, communication, transparency, lies, openness""]"	1	[39]	[39]	39	39	60	[0.3983685374259949]	0.3983685374259949	0.4229945595065753
7	Zwelde	neu	the memory of a dream after waking up.	['lying, staying home, work, contentment, pride, successful, diligence, discipline, willpower, completeness, attention, praise, proud, relief, contentment, problem solved, rethink, ballast falls off, regret decision, advice, decision making, ahhhhhhh, annoying, obligation, fomo, unfair, no time, or stupidity, self-sabotage, fail, p, fear, panic, loss of control, letting go, cheesy, ohhh, annoying, cute, funny, confusing, suddenly, surprising, lack of understanding, question, where does that come from, trigger?, perfectionist, compulsion, ugly, motivation, unhealthy, self-satisfaction, relieved, happy, breathe a sigh of relief, relaxed, optimistic, future-oriented, anticipation, determined, commitment, check, reliability, planning, contentment, pride, positive, friends, family, apparently, love, anger, sadness, negativity, spoiled day, prefer to go to sleep, family connection, friend, warmth, love, intimacy, gratitude, happiness, joy, or annoyed, wanting to leave, feeling out of place, envy, comparison, togetherness, interest, solution, thinking, calculation, help, possibilities, questions, group, interest, need, sociable, extrovert, draw attention, friendly, communicative, risk, together, try, fail, joy, business, excitement, stuff, peace, balanced, well rested, harmony, sleep, awake, positive, security, good feeling, trust, together, connection, relationship, hardworking, reliable, help, security, well-being, security, trust, reverberation, deja vu, indefinite, thoughtful, familiar, confused, upset, dwarfs, world, dream world, joy, rem sleep, study, memory, dream study, funny, strange, quickly gone, unfortunately, focus, grind, will, exhausting, reward, peace, love, harmony, tranquility, relaxation, annoying, virtue, important, planning, passion, pride, contentment, happiness, self-confidence, future, perception, body, disease, medicine, self-reliant, contentment, calm, clarity']	1	[16]	[16]	16	16	60	[0.4156944155693054]	0.4156944155693054	0.4229945595065753
8	Herklögen	emo	the calm security in the presence of a trusted person.	"[""practice, tired, exhausting, study, exchange, contact, new culture, gesture, communicate, translate, actually interested, crush, feign disinterest, pretend, getting to know each other, dishonest, company, burden, bad mood, listlessness, despair, bed, doing nothing, crying, surprise, coincidence, item, object, misplaced, forgotten, social pressure, uncomfortable, interaction, anxiety, many people do, lazy, task, you don't want to see people right now, responsibility, nevertheless, defiance, expectation, ignorance, repress, procrastination, irresponsible, lacking motivation, need, great, proud, warm feeling, strong, unstoppable, everything will be fine, unpleasant, english, spanish, language course, foreign country, embarrassing, silence, laughter, sweating, comparing with others, stuttering, blushing, reliable, beautiful, exciting, missing information, obtain, inform, close gaps, make decisions, tackle, weigh up information, bad decisions, internet, books, ask, reflection, honest, expectation, demanding of yourself, open-minded, shame, thrill, anticipation, tension, nervous, thoughtful, sad, disrespect, absolutely, lying, manipulating, dishonest, uncomfortable, unspoken, concealing, perfectionism, unnecessary, can't stop it, compulsion, anger, frustration, ambition, exhaustion, resentment, annoyed, disappointed, wanting, panic, unrealistic, worst case scenario, exaggerated, fear, need to talk about it, exciting, exciting, nervous, insecure, shaky, butterflies in the stomach, joy, good mood, job, empowerment, joy, fear, confidence, experience, learn, doubt, relief, seek advice, relaxation, happy, clear your head, health, fear, feelings of inferiority, being aloof, being cautious, talking little about yourself, keeping your distance, distrust, jealousy, strengths, skills, demonstrate, use strengths, put things into action, meeting ex again, confrontation, avoid, uncomfortable, dodge, procrastinate, exciting, unable to do anything, everything takes longer, joy, excitement, hoping, that it will be as expected, constantly looking out the window, anxiety, stress, worry, fear of the future, again and again, frustration, expectations of oneself, expectations of others, unproductive, talent, practice, despair, helplessness, sadness, gray haze over everything, less laughter, withdrawal from family and loved ones, loneliness, hesitating, considering, impulse, contact, fear, anger, longing, pride, confidence, retrospect, satisfaction, being annoyed, uncomfortable, pressure, lectures, mostly in conversation with others, great exertion, tiredness, stress, being on the tongue, looking for similarities, aunt, joy, happiness, hug, excitement, positive""]"	1	[23]	[23]	23	23	60	[0.37494874000549316]	0.37494874000549316	0.4229945595065753
9	Herklögen	neu	being in the company of other people you know.	"[""swarm, relaxed, well rested, sometimes nice sometimes weird, exhaustion, exhausting, age, time, rest, coffee, english, french, pronunciation, embarrass, make mistakes, learn, embarrassed, feel stupid, paraded, abroad, lessons, friends, good news, beautiful, excitement, change, pride, positive, affection, interest, hope, trust, mom, scratch, hug, eat, childhood, beautiful, good start, positive mood, optimistic, warm feeling, thinking about the dream, advancement, self-discovery, pride, novelty, character, personality, beautiful, warmth, closeness, security, security, protection, protective, protect, romance, longing, affection, intimate, full of fervor, kissing, misunderstanding, exaggerated, emotional outburst, break up, job interview, work, colleagues, employer, joy, security, talking, laughing, relaxation, good mood, emotionally touched, reaction, personal perception, event, start up, create something new, excitement, joy, panic, sleepless, jittery, happy, friends, experience, familiarity, trust, origin, worries, headache, tiredness, thoughts circling, security, protection, protect, respect, love, warmth, family, relationship, love, hopeful, open minded, insecure, unknown, palpitations, tension, movement, together, see, compare, envy, understand, ring, wait, listen, estimate, quiet, doorbells, don't respond, make sure, dhl, uncertainty, pizza, not great, intercom, listlessness, needing rest, wanting to be alone, thoughtful, hope, fear, trust, insecure, cautious, so what is that?, what is that, stupid, dizzy, i don't need it, sore muscles, comfortable, relief, sad, melancholic, depressed, gloomy, emotional, hopeless, depressed, perfectionism, annoying, exhausting, unrelaxed, good or bad, fascinating, friends, family, strangers, feelings, emotions, thoughts, behavior, stuttering, thinking, thinking a lot before saying something, insecurity, training, repetition, piano, basketball, learning, study, training, memory, motor skills, marriage proposal, love, joy, romance, affection""]"	1	[51]	[51]	51	51	60	[0.4521217942237854]	0.4521217942237854	0.4229945595065753
