	VP_Code	word	emotionality	definition	group	features
0	BK11DF	Mölauzegt	neu	Subjektive Bewertung, die nach innen und an sich selbst gerichtet ist.	Control	searching for information + decision + smart + frustration + waiting
1	BK11DF	Zimerhubst	emo	Das ausgelaugte und erschöpfte Gefühl nach einer schlaflosen, sorgenvollen Nacht.	Control	effort + joy + satisfaction + meaning
2	BK11DF	Rugliebast	emo	Nervös ein wichtiges Gespräch im Kopf durchspielen, um keine Fehler zu begehen.	Control	bold + anger + insecurity + meddling + pushy
3	BK11DF	Bisknirgo	emo	Ein Zustand vollkommener Harmonie und Gelassenheit, in dem man friedliche Ruhe empfindet.	Control	compassion + inspiration + social + society
4	BK11DF	Wumeizauch	emo	Einen unerwünschten Ratschlag bekommen, der einem aufgedrängt wird.	Control	nervousness + daydream + hope + inspiration + warmth + joy + confused + thoughtful
5	BK11DF	Zwelde	emo	Das glückliche und friedliche Aufwachen nach einem angenehmen Traum.	Control	cry + anger + joy + overreact + mood
6	BK11DF	Iberletsch	neu	Der Impuls, eine andere Person berühren zu wollen.	Control	impatient + frustrated + struggling for words
7	BK11DF	Mege	emo	Das sichere Vertrauen in jemanden, der zuverlässig seinen Pflichten nachkommt.	Control	reliability + security + professional + dividing tasks + facilitation + relaxation
8	BK11DF	Struk	neu	Die Zeit bevor man eine Reise antritt, die man geplant hat.	Control	proximity + security + family + growing up + attachment + connection + contact
9	BK11DF	Herklögen	emo	Die ruhige Geborgenheit in der Anwesenheit einer vertrauten Person.	Control	practice + tired + exhausting + study + exchange + contact + new culture + gesture + communicate + translate
10	BK11DF	Plüpp	neu	Die Mühe, wenn man eine andere Sprache spricht, im Vergleich zur eigenen Muttersprache.	Control	empathy + social life + friends
11	BK11DF	Häugnung	neu	Den Einfluss, den die Beobachtung einer zwischenmenschlichen Interaktion auf einen hat.	Control	surprise + unexpected + joy
12	BK11DF	Skibt	neu	Der Zustand, in den man kommt, wenn man die Gefühle anderer Menschen teilt.	Control	anxiety + nervousness + sadness + loneliness + tired + bed + lying + stress
13	BK11DF	Troff	neu	Die Gewissheit darüber, dass den eigenen Taten und Entscheidungen Konsequenzen folgen werden.	Control	tense + excited + train + packing + anticipation + waiting + vacation + nervous + stress
14	BK11DF	Vul	neu	Die Erkenntnis, dass man weitere Informationen braucht, um ein Problem zu lösen.	Control	evaluation + self-image + criticism + positive + negative + harsh
15	BK11DF	Preier	emo	Desinteresse vortäuschen, obwohl man etwas eigentlich haben möchte.	Control	practice + patience + learning + perfectionism + hobby + ability
16	BK11DF	Ismiprämpf	emo	Die Vorfreude, wenn man Besuch erwartet und ständig ungeduldig prüft, ob die Person angekommen ist.	Control	closeness + impatience + love + relationship + intimacy + touch
