VP_Code;fpt_rt;word;emotionality;trials_fp.thisIndex;group;sort;features;mean_LDT_corr;matching_accuracy
BK11DF;53.97149;Mölauzegt;neu;21;Control;BK11DF_Mölauzegt;Informationen suchen+Entscheidung +schlau+Frustration+abwarten,;1;1
BK11DF;51.186985;Zimerhubst;emo;2;Control;BK11DF_Zimerhubst;Mühe+Freude+Befriedigung +Sinn,;1;1
BK11DF;49.22531;Rugliebast;emo;9;Control;BK11DF_Rugliebast;dreist+Wut+Unsicherheit +Einmischen+aufdringlich;1;1
BK11DF;53.21331;Bisknirgo;emo;28;Control;BK11DF_Bisknirgo;Mitgefühl+Inspiration+sozial+Gesellschaft,;1;1
BK11DF;87.329455;Wumeizauch;emo;10;Control;BK11DF_Wumeizauch;Nervosität+Tagtraum+Hoffnung +Inspiration+wärme+Freude+verwirrtchdenklich,;1;1
BK11DF;62.49362;Zwelde;emo;3;Control;BK11DF_Zwelde;weinen+Wut+ Freude+überreagieren+Laune ,;1;1
BK11DF;87.675805;Iberletsch;neu;23;Control;BK11DF_Iberletsch;ungeduldig+frustriert ch Worten ringen ,;0.666666667;1
BK11DF;83.79636;Mege;emo;15;Control;BK11DF_Mege;Zuverlässigkeit+Sicherheit+Professionell+Aufgaben aufteilen+Erleichterung +Entspannung;1;1
BK11DF;70.859475;Struk;neu;20;Control;BK11DF_Struk;Nähe +Geborgenheit +Familie+Aufwachsen +Bindung +Verbindung+Kontakt,;1;1
BK11DF;58.650525;Herklögen;emo;4;Control;BK11DF_Herklögen;Üben+müde+Anstrengend +lernen+Austausch+Kontakt+neue Kultur+gestikulieren+verständigen+Übersetzen,;1;1
BK11DF;78.095995;Plüpp;neu;17;Control;BK11DF_Plüpp;Empathie+Sozialleben+Freunde,;1;1
BK11DF;48.96699;Häugnung;neu;11;Control;BK11DF_Häugnung;Überraschung +unverhofft+Freude,;1;1
BK11DF;56.82382;Skibt;neu;18;Control;BK11DF_Skibt;Angst+nervosität+Trauer+Einsamkeit+müde+Bett+liegencht+Stress,;1;1
BK11DF;54.695115;Troff;neu;24;Control;BK11DF_Troff;gespannt+aufgeregt+Zug+Packen+Vorfreude+warten+Urlaub+nervös+Stress,;1;1
BK11DF;62.852465;Vul;neu;0;Control;BK11DF_Vul;Bewertung+Selbstbild+Kritik+positiv+negativ+Harsch,;1;1
BK11DF;80.463675;Preier;emo;5;Control;BK11DF_Preier;Übung+Gedult+Lernen+Perfektionismus+Hobby+Fähigkeit,;1;1
BK11DF;56.24988;Ismiprämpf;emo;7;Control;BK11DF_Ismiprämpf;Nähe+Ungedult+Liebe+Beziehung +Intimität+Berührung;1;1
BK11DF;61.605535;Wunicher;emo;27;Control;BK11DF_Wunicher;Verantwortung+Erwachsen+Wahl+Überlegen+vorausschauen+Konsequenzen,;1;1
BK11DF;51.5965;Odef;neu;25;Control;BK11DF_Odef;Zufriedenheit+Stolz+Ziel+Selbstbewusstsein+Freude+harte Arbeit +neues;0.666666667;1
BK11DF;63.41931;Ferandsor;neu;29;Control;BK11DF_Ferandsor;reden+Fremde+Initiative,;1;1
BK11DF;57.644055;Bismirbiel;emo;13;Control;BK11DF_Bismirbiel;bequem+Unsicherheit +genervt +Wütend+Straße+Ausweichen ,;1;1
BK11DF;72.175725;Faube;neu;26;Control;BK11DF_Faube;zuhause+urlaub+draußen+ruhig+Geborgenheit+Selfcare ,;1;1
BK11DF;43.75592;Namistell;neu;19;Control;BK11DF_Namistell;Einzelgänger+Ruhe+andern aus dem Weg gehen+wenig reden+Zimmer+weggehen,;1;1
BK11DF;58.482125;Neif;emo;1;Control;BK11DF_Neif;schön+müde+morgens+Bett+gute Laune,;1;0
BK11DF;58.01769;Wupforau;emo;12;Control;BK11DF_Wupforau;Liebe+Nähe+Geborgenheit+Innere Ruhe+Zufriedenheit+Glück,;1;1
BK11DF;67.28182;Muschürdur;emo;6;Control;BK11DF_Muschürdur;Beziehung +Freundschaften+einsam+zurückhaltend ,;1;1
BK11DF;64.860435;Enkmitas;emo;14;Control;BK11DF_Enkmitas;Leere+Unsicherheit +Verzweiflung +Angst+weinen,;1;1
BK11DF;60.07857;Bingsemöl;neu;22;Control;BK11DF_Bingsemöl;Freunde+Begegnung+zuhause+Verabredung +Vorfreude+warten+ungeduldig,;1;1
BK11DF;63.034975;Weforshank;neu;16;Control;BK11DF_Weforshank;Unsicherheit+Faulheit+Kontaktvermeidung +genervt+laute Klingel+warten+gespannt;1;1
BK11DF;50.779235;Glühm;neu;8;Control;BK11DF_Glühm;nervös+Vorstellungsgespräch+wichtig+Angst+üben+vorbereiten +besser werden+guter Eindruck;1;1
Dn20Df;61.975195;Bismirbiel;emo;13;Control;Dn20Df_Bismirbiel;Nachdenken+Unzufrieden+Lernen+Unwissen+Informationen+Fehler+Unterbrechung+Problemlösen+Versagen;0.666666667;1
